code,name,rnum
EV020100,전통공연,1
EV020200,연극,2
EV020300,뮤지컬,3
EV020400,오페라,4
EV020500,무용,5
EV020600,클래식음악회,6
EV020700,대중콘서트,7
EV020800,영화,8
EV020900,기타공연,9
EV021000,넌버벌,10
