code,name,rnum
VE01,랜드마크관광,1
VE02,테마공원,2
VE03,도시공원,3
VE04,도시.지역문화관광,4
VE05,복합관광시설,5
VE06,공연시설,6
VE07,전시시설,7
VE08,행사시설,8
VE09,교육시설,9
VE10,레저스포츠시설,10
VE11,교통시설,11
VE12,기타문화관광지,12
