systemCode2,systemCode3,systemName3,created_at,updated_at
AC01,AC010100,호텔,2025-09-19 16:13:11,2025-09-19 16:13:11
AC02,AC020100,콘도,2025-09-19 16:13:11,2025-09-19 16:13:11
AC02,AC020200,레지던스,2025-09-19 16:13:11,2025-09-19 16:13:11
AC03,AC030100,펜션,2025-09-19 16:13:11,2025-09-19 16:13:11
AC03,AC030200,한옥스테이,2025-09-19 16:13:11,2025-09-19 16:13:11
AC03,AC030300,농어촌민박,2025-09-19 16:13:11,2025-09-19 16:13:11
AC03,AC030400,홈스테이,2025-09-19 16:13:11,2025-09-19 16:13:11
AC04,AC040100,모텔,2025-09-19 16:13:11,2025-09-19 16:13:11
AC05,AC050100,일반야영장,2025-09-19 16:13:11,2025-09-19 16:13:11
AC05,AC050200,오토캠핑장,2025-09-19 16:13:11,2025-09-19 16:13:11
AC05,AC050300,카라반,2025-09-19 16:13:11,2025-09-19 16:13:11
AC05,AC050400,글램핑장,2025-09-19 16:13:11,2025-09-19 16:13:11
AC06,AC060100,유스호스텔,2025-09-19 16:13:11,2025-09-19 16:13:11
AC06,AC060200,게스트하우스,2025-09-19 16:13:11,2025-09-19 16:13:11
C0112,C01120001,가족코스,2025-09-19 16:13:11,2025-09-19 16:13:11
C0113,C01130001,나홀로코스,2025-09-19 16:13:11,2025-09-19 16:13:11
C0114,C01140001,힐링코스,2025-09-19 16:13:11,2025-09-19 16:13:11
C0115,C01150001,도보코스,2025-09-19 16:13:11,2025-09-19 16:13:11
C0116,C01160001,캠핑코스,2025-09-19 16:13:11,2025-09-19 16:13:11
C0117,C01170001,맛코스,2025-09-19 16:13:11,2025-09-19 16:13:11
EV01,EV010100,문화관광축제,2025-09-19 16:13:11,2025-09-19 16:13:11
EV01,EV010200,문화예술축제,2025-09-19 16:13:11,2025-09-19 16:13:11
EV01,EV010300,지역특산물축제,2025-09-19 16:13:11,2025-09-19 16:13:11
EV01,EV010400,전통역사축제,2025-09-19 16:13:11,2025-09-19 16:13:11
EV01,EV010500,생태자연축제,2025-09-19 16:13:11,2025-09-19 16:13:11
EV01,EV010600,기타축제,2025-09-19 16:13:11,2025-09-19 16:13:11
EV02,EV020100,전통공연,2025-09-19 16:13:11,2025-09-19 16:13:11
EV02,EV020200,연극,2025-09-19 16:13:11,2025-09-19 16:13:11
EV02,EV020300,뮤지컬,2025-09-19 16:13:11,2025-09-19 16:13:11
EV02,EV020400,오페라,2025-09-19 16:13:11,2025-09-19 16:13:11
EV02,EV020500,무용,2025-09-19 16:13:11,2025-09-19 16:13:11
EV02,EV020600,클래식음악회,2025-09-19 16:13:11,2025-09-19 16:13:11
EV02,EV020700,대중콘서트,2025-09-19 16:13:11,2025-09-19 16:13:11
EV02,EV020800,영화,2025-09-19 16:13:11,2025-09-19 16:13:11
EV02,EV020900,기타공연,2025-09-19 16:13:11,2025-09-19 16:13:11
EV02,EV021000,넌버벌,2025-09-19 16:13:11,2025-09-19 16:13:11
EV03,EV030100,전시회,2025-09-19 16:13:11,2025-09-19 16:13:11
EV03,EV030200,박람회,2025-09-19 16:13:11,2025-09-19 16:13:11
EV03,EV030300,스포츠경기,2025-09-19 16:13:11,2025-09-19 16:13:11
EV03,EV030400,기타행사,2025-09-19 16:13:11,2025-09-19 16:13:11
EX01,EX010100,전통문화체험,2025-09-19 16:13:11,2025-09-19 16:13:11
EX02,EX020100,금속공예체험,2025-09-19 16:13:11,2025-09-19 16:13:11
EX02,EX020200,유리공예체험,2025-09-19 16:13:11,2025-09-19 16:13:11
EX02,EX020300,가죽공예체험,2025-09-19 16:13:11,2025-09-19 16:13:11
EX02,EX020400,기타공예체험,2025-09-19 16:13:11,2025-09-19 16:13:11
