code,name,rnum
EX050100,온천 / 사우나 / 스파,1
EX050200,찜질방,2
EX050300,한방체험,3
EX050400,힐링명상,4
EX050500,뷰티스파,5
EX050600,기타웰니스,6
EX050700,자연치유,7
