code,name,rnum
FD030100,제과,1
FD030200,"피자, 햄버거, 샌드위치 및 유사음식",2
FD030300,치킨,3
FD030400,김밥 분식,4
FD030500,이동음식,5
FD030600,기타간이음식,6
